,city,lon,lat,wind_speed,max_temp,humidity,date,country,cloud
0,Manga,-1.07,11.66,0.85,82.81,25,1584494069,BF,40
1,Ambilobe,49.05,-13.2,2.77,74.75,91,1584494070,MG,47
2,Busselton,115.33,-33.65,1.01,59.0,97,1584493781,AU,20
3,Sakakah,40.21,29.97,17.22,59.0,54,1584494070,SA,0
4,Gold Coast,153.43,-28.0,16.11,80.01,50,1584493930,AU,4
5,Huron,-82.55,41.15,6.93,43.0,60,1584494071,US,1
6,Aklavik,-135.01,68.22,4.09,23.0,67,1584493489,CA,40
7,Kapaa,-159.32,22.08,6.93,78.8,94,1584494071,US,75
8,Airai,125.41,-8.93,4.74,73.18,64,1584493506,TL,0
9,Dunedin,170.5,-45.87,5.01,64.99,46,1584493517,NZ,0
10,Normandin,-72.53,48.83,12.75,28.4,63,1584494072,CA,20
11,Geraldton,114.6,-28.77,13.87,71.6,49,1584493269,AU,88
12,Punta Arenas,-70.92,-53.15,21.92,53.6,62,1584493230,CL,75
13,Annaberg-Buchholz,13.01,50.58,2.24,44.01,100,1584494073,DE,48
14,Severo-Kuril'sk,156.12,50.68,16.82,21.58,82,1584494073,RU,100
15,Carnarvon,113.63,-24.87,20.8,75.2,64,1584493478,AU,100
16,Hithadhoo,73.08,-0.6,12.41,84.6,74,1584493777,MV,16
17,Tiksi,128.87,71.69,7.92,-31.0,88,1584494074,RU,87
18,Ushuaia,-68.3,-54.8,9.17,55.4,47,1584493813,AR,40
19,Avarua,-159.78,-21.21,18.34,82.4,83,1584493786,CK,100
20,Huambo,15.74,-12.78,3.36,60.94,99,1584494075,AO,100
21,Kimberley,24.76,-28.73,11.41,59.0,87,1584494075,ZA,95
22,Fairview,-74.0,40.81,5.82,52.0,66,1584494076,US,20
23,Nanortalik,-45.24,60.14,10.49,20.14,54,1584494076,GL,17
24,Lavrentiya,-171.0,65.58,10.78,30.83,93,1584493479,RU,100
25,Harindānga,88.32,22.04,3.36,69.8,83,1584494076,IN,20
26,Madison Heights,-83.11,42.49,3.36,45.0,41,1584494077,US,40
27,Askiz,90.53,53.13,3.65,31.3,82,1584494077,RU,100
28,Bluff,168.33,-46.6,10.0,59.0,67,1584493796,NZ,22
29,Comodoro Rivadavia,-67.5,-45.87,21.3,57.2,87,1584493859,AR,0
30,Esperance,121.9,-33.87,19.46,64.4,59,1584494077,AU,65
31,Qaanaaq,-69.36,77.48,5.64,-19.3,57,1584494078,GL,96
32,Tazmalt,4.4,36.39,4.7,55.4,93,1584494078,DZ,75
33,Dogondoutchi,4.03,13.64,9.6,81.39,7,1584494078,NE,6
34,Ahipara,173.17,-35.17,13.76,63.41,60,1584493540,NZ,0
35,Lebu,-73.65,-37.62,7.87,56.79,84,1584494079,CL,0
36,Hobart,147.33,-42.88,17.22,75.2,31,1584494080,AU,75
37,Dumka,87.25,24.27,3.67,69.26,41,1584494080,IN,0
38,Coquimbo,-71.34,-29.95,4.7,60.8,82,1584493804,CL,0
39,Khatanga,102.5,71.97,8.01,-14.66,87,1584494080,RU,89
40,Port Elizabeth,25.57,-33.92,13.87,69.8,68,1584493858,ZA,0
41,Rikitea,-134.97,-23.12,13.29,80.67,79,1584494081,PF,23
42,Karasburg,18.75,-28.02,3.31,75.49,22,1584494081,NA,23
43,La Ronge,-105.28,55.1,5.82,5.0,42,1584493858,CA,40
44,Butaritari,172.79,3.07,12.68,83.35,75,1584494081,KI,0
45,Port Alfred,26.89,-33.59,8.57,66.0,95,1584493884,ZA,18
46,Mozarlândia,-50.57,-14.74,0.92,76.84,82,1584494083,BR,23
47,Arraial do Cabo,-42.03,-22.97,8.12,78.82,84,1584493871,BR,99
48,Ransang,117.58,8.96,1.36,79.66,66,1584494083,PH,17
49,Atuona,-139.03,-9.8,10.04,82.94,73,1584494083,PF,1
50,Codrington,141.97,-38.27,12.8,68.13,56,1584493509,AU,100
51,Cidreira,-50.21,-30.18,22.26,73.71,80,1584493790,BR,98
52,Norman Wells,-126.83,65.28,3.36,24.8,79,1584493873,CA,75
53,Atar,-13.05,20.52,7.72,66.45,25,1584494084,MR,97
